	Domain	Phylum	Class	Order	Family	Genus	OTU
7fa41148fb7e78037efe06162cdb189e	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	NA	NA
f559e75a7717d2d5670aa2ba37fecbc8	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	NA	NA
75652e543a236e45a7ba9b282ee93c88	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	NA
e1f11f8129c1f28980f9fe1107fd121c	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	NA
ae6a76368de1af83d4bce34d8d5edf87	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	NA
98369103c52532443f82ed08d0f51654	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	NA
363654066423fd00a4b3bc4251cb1907	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	NA
b50530763ae18cbc1b756225a17f0bb5	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	NA
3b33192eb2d02bba2f57ec8440e77f56	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	NA
5c640985df8001ce458618c32d610f30	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	NA
82e3942510810b8c1f0946405b9e4973	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	NA
5f82edd567b273d1ef1553a7909c7b9b	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	g__Nitrosopumilus	NA
69b823430ae790ab0cd28c9aabf67b6c	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	NA	NA
147940a0d6a21ba5cd89f6990a6bb8e2	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	NA	NA
406f5dc90827d2b0433a9d9c53e12dbd	k__Archaea	p__Crenarchaeota	c__Thaumarchaeota	o__Cenarchaeales	f__Cenarchaeaceae	NA	NA
04d423aafd6eb6e7497665d798452f5c	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halalkalicoccus	s__tibetensis
a037a764790c432b2c7d3d4a6be6aac3	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanospirillaceae	g__Methanospirillum	NA
b669910cdeece7d32866ebe6e7b757ba	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanocorpusculaceae	g__Methanocorpusculum	NA
0991dcea181424b2f522e49558575df8	k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__E2	f__[Methanomassiliicoccaceae]	g__Methanomassiliicoccus	NA
eaf86951ec53a6256686528308d499d1	k__Archaea	p__Euryarchaeota	c__Thermoplasmata	o__E2	f__[Methanomassiliicoccaceae]	g__Methanomassiliicoccus	NA
1c0f4637adc41331eb5bfbe303418e3d	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	NA	NA
55e1ce1d62637eb3ebba0ad4d0299395	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	NA	NA
04c81a0875d5363b9139408f5ff1ec82	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	NA
612fb1a6ef8a65e82a2ce663fb04e333	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	NA
396a919b544fc5e8ad2edec5b5fc64af	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	NA
5e1b2b31a8f51007371bcd8489afc746	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	NA
0fe4f858e75c94a0f64f5e56e4279105	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	NA
c5e6cb03ffab0dd4ce1d74a0b02b8f4e	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	NA
a42666b23565ad4493adbf6ba96eb347	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	NA
1cf507b4d874a1f1b850091a1558394c	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	NA
56948462e2f1434a7406ca217920aa6a	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__bryantii
ef89cc382ee9134079650ed5e734a4cd	k__Bacteria	p__TM6	c__SBRH58	NA	NA	NA	NA
755cef0a44abceb8bc8d81aa4727e47c	k__Bacteria	p__TM6	c__SJA-4	NA	NA	NA	NA
b06bedefb55f254ee9baee72ee10b01d	k__Bacteria	p__TM6	c__SJA-4	NA	NA	NA	NA
17d8602b1a6bc85d331940a09941d3df	k__Bacteria	p__TM6	c__SJA-4	NA	NA	NA	NA
340875313dad15f813a5a80e67fec043	k__Bacteria	p__TM6	c__SJA-4	NA	NA	NA	NA
b6536ecc04e276f449f63902b077bcf8	k__Bacteria	p__TM6	c__SJA-4	o__S1198	NA	NA	NA
33d670da6fe41d080aed0fb0ff26de69	k__Bacteria	p__TM6	c__SJA-4	o__S1198	NA	NA	NA
76a2b003fd8016c7f91b5fdda1a0a482	k__Bacteria	p__TM6	c__SJA-4	o__S1198	NA	NA	NA
95ceeaef538a71721d9b5537c0066e76	k__Bacteria	p__TM6	c__SJA-4	o__S1198	NA	NA	NA
a48732897ca50afbccb3ee6384469522	k__Bacteria	p__TM6	c__SJA-4	o__S1198	NA	NA	NA
f7dd54227d47a2957a1c1e0d6abc14a5	k__Bacteria	p__TM6	c__SJA-4	o__S1198	NA	NA	NA
7b9204f108f0f183ec71ed2d903d752f	k__Bacteria	p__TM6	c__SJA-4	o__S1198	NA	NA	NA
9cbe772df6be29ba02b22dae3e830d2e	k__Bacteria	p__TM6	c__SJA-4	o__S1198	NA	NA	NA
e6cc4fd617b04f32f24070110991e8f0	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__MLE1-12	NA	NA	NA
b479c5484f6ec89c538bb61d2061419d	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__MLE1-12	NA	NA	NA
953d91897f38bd06b20f826e8ead693d	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__MLE1-12	NA	NA	NA
14eaa50e2ae2d18f5eba4239f4ed2a14	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__MLE1-12	NA	NA	NA
f5aa03e4fff4495f2fa54f5f8d71bd42	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__MLE1-12	NA	NA	NA
9728183f96eaebcc5541c99896118faf	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Gomphosphaeriaceae	g__Snowella	NA
a903ae2765ccc6e9a305ceddcc148139	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Gomphosphaeriaceae	g__Snowella	NA
f33df3fa819d971ced306db9ce48739a	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Oscillatoriales	f__Phormidiaceae	g__Oscillatoria	s__acuminata
15875730c84910fc84dee9b9f9247784	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__Chlamydomonadaceae	g__Acutodesmus	s__obliquus
be6be55330eb62abd6c2f262cf5adf62	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__Chlamydomonadaceae	g__Acutodesmus	s__obliquus
5f0a906f27a1a1b4ea485f622c01f400	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__Chlamydomonadaceae	g__Acutodesmus	s__obliquus
1aad1b58429c4889685a44248b416c0f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__Chlamydomonadaceae	g__Hydrodictyon	s__reticulatum
dd61c4409941fa00ea2eba89477104a3	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__Chlamydomonadaceae	g__Hydrodictyon	s__reticulatum
99320ecad6a1e99109485f093ec61bab	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Haptophyceae	NA	NA	NA
378ea50d0fc71f90e4f9441989107318	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Cyanobacteriaceae	g__Cyanobacterium	NA
5e4391001e2cfaeb4d1628e9ed24dfa9	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Cyanobacteriaceae	g__Cyanobacterium	NA
03e46b94db76c6bba8b70a2e0ab040d3	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	NA	NA	NA
083fc48fde644a22c6b9c679c92ba87b	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	NA	NA	NA
3acb108523e9741fc49dd90556e33eea	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	NA	NA	NA
49c1220c7b1af8bdf6ee2bc315f0d45f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
b79d0d93afb1e25e7e8474c117dd11ee	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
0998977c71ba1873b48ee93033d1b9fd	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	NA	NA	NA
73d251c90e50665001dc3b046189fbe0	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
ffbe2c7cced96e4ff8b3c908757b2f79	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
a0375dbc4f9add589fb48ca5c78ae8cd	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
d8430bb2ed4b9b2b05256228faffeebd	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
bca0e2dcae0b832763bad546b575720c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
2f3701613a9ff5afa2ede6190f7e0a16	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
244c2d3e341eabce96c17fdbb95a671e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
44609782ccd0b9c11225036c10198be8	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
207d553b330274fecc7038f8dcd88471	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
efe173f10a1363fe87f97242efc82d22	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
bba3acaecca22cc2e12411fcd0db1668	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
b27e632476e7bb906d0eb1b548deb018	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
d5a467540e3ea616205dc0995fce3101	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
5e59a6db131d7f9d87f0528c5af40917	k__Bacteria	p__Cyanobacteria	c__Chloroplast	NA	NA	NA	NA
e062210a39c49719afa1148bfebf68e5	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__Trebouxiophyceae	g__Chloroidium	s__saccharophilum
f14882ce6043b4c4e99e831fe9b5e817	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
0cb63e7815567886e89608f8e49bdb00	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
916027691f2a94ef9b19059adf327c4e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
89001d4099c0f3892c7d7dcff75df281	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
3c35ef4f6b31f3a9e42edc6f37b83bb7	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
fc974911bb693a6a1f73c2a7d684c6e7	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
ee8743abccca16232ff267c0e875ae5a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
02c5d312c555055227e79c87fab87fdb	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
1dbaa6c82b974cc806296b45c36b6bf7	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
4b54ca7238f26d9f9d98dc059bbf4ae1	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
f7591e3ce4322eceb076f32bb15b0787	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
145f9294ebc078686799c08823dcf8f6	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
c2517524baa2ae4fb886facd16b5f30e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
fb7628fad284c310520242403a9752aa	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
1614f43196ecbbb9756e7e61b580c430	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
610bd15d0d86ea3ceccbebe4b3b4ca54	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
264204f6aa3cfd3a404c8d19d755a0a3	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
4110217ada1f14ea981625a351a7f923	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
32f2405f4e2d0da2ea3738bc843eade5	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
adef6eae78627e9e28f2df000c1faa07	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
a897eddf9c26ccb251d340708cb48715	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
1053eabc8a7b8a9f13de990154c3495c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
738687a4ff0a762929814a1fab060337	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
c74c52586ca6e838ad8000d65bd4f298	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
3e7b884a0c6ebace5659917d4f2a1620	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
9e6a68794025ec2c42b8f124d8db31cd	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
b051c4c32956331f45f0b211cca2ca1a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
976ebccf97e9429e4a9cc33b5ae099d7	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
ade8edc33ca3bfbcd559396a810eee89	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
f09b8d0de36d6edadd041fa0cf378850	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
b3ef1ddd0cbe66429eda3ae6f597ca0b	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
e1caa576d0dbfee3bd371e1a067c91cf	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
ef06ed402430c36e488b3a26ca8a08c0	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
c063a5914cf7e9808c04968b4beceb0d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
029a24733882f827a2d42cd38bf515b5	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
a06e3d8a5be3641ebb1436679ff8090f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
e445f3f8ee55b896a3c873a96679fba1	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
1535655b8420b0718e8fe5ee83a84d84	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
a058378d485ab67f17f94f15593fc8cb	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
bbb514b1e51e93e1d5d56dc32b5869e3	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
70358e5912a357332c75f769e3121edf	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
5097b137cb90b49e00a49271844fb19c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
957778041671f89cff78f59307b74446	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
0fa3492b2bfc90a28fca9dd15f7137ee	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
690a121177e818c666a4cd035b75b45c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
a293745dd506e1bd24dd063afbf7ac9d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
9036d4bfc707b9e98f2e0ce8da7d7dbf	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
150c5e78d3a69c479d9f94e1be6b27e7	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
579dded07050b75c1cc265ce9b2f8bc5	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
11a86558e1a63a7457c425cf847c3bd9	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
0d3f41cd5afba53c180847ea8017650d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
081f33e51113bf24b0bf766a906babde	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
ea0e326b28e997d358874bf89af3bc89	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
e2414eb78ae016df6bffdda9282a4c58	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
71795cefb2d3ed70f6f1449c013935fe	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
c42b8c4df4d50c368e41ee028ef8f48a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
658993de9e32f2185c9feb13c47d9ea3	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
420c0e2f9c328493bf2b6210562db54d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
abf29b27236d6f31b762df1c2433f7be	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
34c1956c27b0a315b084bec51d7a6f05	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
969339493187867fcdca999de91ac662	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
e17b95d1c71bf0a07334888b38282b6d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
33d6e9b30826fc84c4782811d290bf52	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
c74a2cd8e762ef94e89cf84e382830be	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
b6a27c2f2980f8d524c5bca54a8dc373	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
d938e5d93118ad12838d6a83da60a52c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
d86df4c49c9a100f8decf7f4aa8bd80a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
2805753b31ce20cbe49a0556ae3ce40d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
c9bda9b849e3c2cce6327a8f40ea6e2a	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
43c77dbc1b3aca3d9cf1aefe7624daf6	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
7ea28298ab66c4f494cd2f9ab552419f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
9d9d5ae271aed33fbe53af6edae8a1ea	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
aec4aad079a65c4d4011589b619a8eac	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
56998902a19b07065813c4dec79f45ca	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
d1fd43f55007f6b6687007b0fa670a62	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
3d11f8a5f50998538ffc2c6ad462da14	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
40c82ca469f8a2df7bca4b025a2c6e02	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
0fd87cdd56d6a74fd2198356561a201c	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
5f9096e45e1ea706ba58b69cf07faf9f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
13fd50ee143cbb82d3a471adb59113f0	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
2266e12ff91d45819f90407386306839	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
2f89e6971d672567727f4f1cd6debb1e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
d059d53d515b5f42673e15914ecd56da	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
0ab7c49525f8d748b0e53a5624ac8c05	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
407fa123dbe98b7a345b777fe25de3f8	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
53bfacf65a7fe28bdd132daa121ef45f	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
490fff288d8ab53d66031a6116de406e	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
e1bddd0073daaf916563f92793c7d34d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
e9737936229ab9c578171739e17d72ba	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
ef66a4f9bbec189723ed260584be65e9	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
ffae9a508fb29ddaaacea9b70c2b729d	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
7698251f6e09ad65215b8c37ab4aa3f3	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
b7146d3b53e281955d8b7270f3ec3a06	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	NA	NA	NA
